Month,Avg Players,Gain,% Gain,Peak Players
November 2016,329045.26,-4031.2,-1.21,627124
October 2016,333076.46,10550.57,3.27,661985
September 2016,322525.89,-24703.36,-7.11,638360
August 2016,347229.25,-6548.31,-1.85,599095
July 2016,353777.56,19466.5,5.82,636056
June 2016,334311.06,-4427.34,-1.31,579110
May 2016,338738.39,-37057.47,-9.86,668612
April 2016,375795.87,-3631.08,-0.96,850485
March 2016,379426.95,3141.92,0.83,737599
February 2016,376285.02,10913.93,2.99,738969
January 2016,365371.09,-12076.02,-3.2,667432
December 2015,377447.11,16521.23,4.58,823694
November 2015,360925.88,-1840.21,-0.51,786707
October 2015,362766.09,6860.76,1.93,732093
September 2015,355905.33,-1629.91,-0.46,725939
August 2015,357535.24,28002.87,8.5,819902
July 2015,329532.38,-14623.63,-4.25,541181
June 2015,344156.01,26869.72,8.47,610401
May 2015,317286.29,25537.55,8.75,677701
April 2015,291748.74,23752.43,8.86,568556
March 2015,267996.31,28061.68,11.7,595439
February 2015,239934.64,5863.96,2.51,455508
January 2015,234070.68,50481.18,27.5,443188
December 2014,183589.5,36260.43,24.61,367634
November 2014,147329.07,13791.37,10.33,348018
October 2014,133537.7,2503.02,1.91,260613
September 2014,131034.68,-2151.11,-1.62,242494
August 2014,133185.79,27047.79,25.48,277192
July 2014,106138.0,21974.38,26.11,193613
June 2014,84163.62,-761.4,-0.9,164134
May 2014,84925.02,6044.49,7.66,170137
April 2014,78880.53,8737.2,12.46,142526
March 2014,70143.33,10351.96,17.31,164495
February 2014,59791.37,4164.01,7.49,119764
January 2014,55627.35,8839.08,18.89,102084
December 2013,46788.27,16897.75,56.53,96298
November 2013,29890.52,1988.38,7.13,92279
October 2013,27902.14,223.23,0.81,53263
September 2013,27678.91,1717.06,6.61,52052
August 2013,25961.85,5469.33,26.69,50511
July 2013,20492.52,2372.68,13.09,42149
June 2013,18119.84,-590.5,-3.16,33700
May 2013,18710.34,2704.34,16.9,53379
April 2013,16006.0,46.11,0.29,31966
March 2013,15959.89,-1412.84,-8.13,32166
February 2013,17372.73,1208.51,7.48,35238
January 2013,16164.22,2084.83,14.81,31359
December 2012,14079.39,-54.71,-0.39,27553
November 2012,14134.1,3394.62,31.61,50533
October 2012,10739.48,-5261.27,-32.88,20850
September 2012,16000.75,525.36,3.39,36057
August 2012,15475.39,14542.81,1559.43,52261
